idade,genero,ds_ensino_medio,ds_ingresso,cd_curso,valor_mensalidade_liquido,qtd_mensalidade_paga_atraso,qtd_semestres_curso,qtd_reprovacoes,coeficiente_rendimento,situacao,evasao,media_acessos_por_dia,semestres_existencia_curso,categoria_motivo_cancelamento,qtd_professores,qtd_professores_mestrado,qtd_professores_doutorado,qtd_professores_especialista,qtd_professores_graduado,qtd_professores_M,qtd_professores_F,idade_media_professores,cluster
28,F,Não informado,Reingresso,LED_FIS_EAD,307.98614,0,8,0,8.8,CONCLUIDO,0,0.3184931506849315,4,NA,15.0,5,1,7,2,3,12,46.8,3
28,F,Não informado,Reingresso,LED_FIS_EAD,307.98614,0,8,0,8.8,TRANCADA,0,0.3184931506849315,4,NA,10.0,2,0,7,1,1,9,47.4,4
27,M,Não informado,Vestibular,GESFIN_EAD,264.06072,0,4,1,4.4,TRANCADA,0,0.4605263157894737,8,NA,15.0,2,2,10,1,1,14,46.0,1
21,M,Não informado,Transferência,BED_FIS_EAD,363.62,3,8,0,8.12,CONCLUIDO,0,1.1412429378531073,4,NA,14.0,4,1,8,1,3,11,45.21428571428572,3
21,M,Não informado,Transferência,BED_FIS_EAD,363.62,4,8,0,8.13,CONCLUIDO,0,1.1412429378531073,4,NA,10.0,2,0,8,0,1,9,45.1,0
42,F,Escola Pública,Segunda Graduação,HIST_EAD,307.80433,0,8,0,7.83,CONCLUIDO,0,2.9696969696969697,10,NA,2.0,1,0,1,0,0,2,39.5,2
42,F,Escola Pública,Segunda Graduação,HIST_EAD,307.80433,0,8,0,7.83,CONCLUIDO,0,2.9696969696969697,10,NA,2.0,2,0,0,0,0,2,44.0,2
39,F,Escola Pública,Segunda Graduação,EDU.ESP_EAD,336.5531291968842,2,8,3,3.87,TRANCADA,0,0.5317725752508361,10,NA,1.0,1,0,0,0,0,1,44.0,2
32,F,Não informado,Vestibular,LET_EAD,151.18,0,8,1,8.62,CONCLUIDO,0,0.0541310541310541,10,NA,10.0,4,1,5,0,0,10,42.0,2
31,F,Não informado,Vestibular,BED_FIS_EAD,307.80433,1,8,5,0.48,TRANCADA,0,0.2636363636363636,4,NA,11.0,2,0,8,1,1,10,46.45454545454545,0
24,F,Não informado,Vestibular,PED_EAD,257.00600000000003,0,8,1,8.76,CONCLUIDO,0,0.0413223140495867,13,NA,15.0,5,1,8,1,0,15,42.13333333333333,4
25,M,Escola Privada,Reingresso,PROC_GERE,227.001,0,4,7,5.28,CONCLUIDO,0,0.6011730205278593,14,NA,13.0,2,2,8,1,4,9,41.0,1
25,M,Escola Privada,Reingresso,PROC_GERE,227.001,0,4,7,5.28,CONCLUIDO,0,0.6011730205278593,14,NA,9.0,2,1,6,0,1,8,44.66666666666666,2
47,F,Não informado,Vestibular,EDU.ESP_EAD,151.18,2,8,0,9.4,CONCLUIDO,0,0.9030470914127424,10,NA,13.0,5,1,6,1,0,13,42.46153846153846,4
47,F,Não informado,Vestibular,EDU.ESP_EAD,151.18,3,8,0,9.4,CONCLUIDO,0,0.9030470914127424,10,NA,9.0,2,0,6,1,0,9,47.0,2
39,F,Escola Pública,Segunda Graduação,EDU.ESP_EAD,307.549796,0,8,0,8.62,CONCLUIDO,0,0.4129213483146067,10,NA,18.0,5,4,8,1,2,16,47.333333333333336,0
52,F,Não informado,Segunda Graduação,EDU.ESP_EAD,307.549796,0,8,0,7.47,CONCLUIDO,0,1.7912087912087913,10,NA,18.0,5,4,8,1,2,16,47.333333333333336,0
31,F,Escola Pública,Segunda Graduação,EDU.ESP_EAD,307.549796,0,8,0,8.16,CONCLUIDO,0,0.4555555555555555,10,NA,18.0,5,4,8,1,2,16,47.333333333333336,0
30,F,Escola Pública,Reingresso,PED_EAD,256.9975,7,8,0,7.88,CONCLUIDO,0,0.7700831024930748,13,NA,8.0,4,1,3,0,2,6,44.625,2
30,F,Escola Pública,Reingresso,PED_EAD,256.9975,16,8,0,7.88,CONCLUIDO,0,0.7700831024930748,13,NA,4.0,2,0,2,0,0,4,43.25,2
30,F,Não informado,Vestibular,ADM_EAD,307.98614,0,8,1,4.2,TRANCADA,0,0.6277777777777778,8,NA,19.0,4,2,12,1,4,15,42.8421052631579,3
48,F,Não informado,Vestibular,SER_SOC_EAD,144.17533,3,8,3,4.64,ABANDONO,1,1.152542372881356,4,Questões Financeiras,16.0,8,0,7,1,0,16,41.5625,4
48,F,Não informado,Vestibular,SER_SOC_EAD,144.17533,3,8,3,4.64,CONCLUIDO,0,1.152542372881356,4,NA,11.0,3,0,7,1,0,11,43.54545454545455,4
26,F,Não informado,Vestibular,PRO_IND_EAD,280.91602,0,6,0,7.6,CONCLUIDO,0,0.4229607250755287,4,NA,14.0,2,1,10,1,1,13,46.35714285714285,1
45,F,Não informado,Vestibular,PED_EAD,196.534,2,8,0,8.57,CONCLUIDO,0,0.1108033240997229,13,NA,16.0,4,2,8,2,1,15,45.125,4
46,F,Escola Pública,Vestibular,PED_EAD,151.18,0,8,0,8.66,CONCLUIDO,0,0.3047091412742382,13,NA,15.0,5,1,8,1,0,15,42.13333333333333,4
46,M,Escola Privada,Segunda Graduação,BED_FIS_EAD,307.98614,0,8,4,6.33,CONCLUIDO,0,1.371508379888268,4,NA,14.0,4,1,8,1,3,11,45.21428571428572,3
46,M,Escola Privada,Segunda Graduação,BED_FIS_EAD,307.98614,0,8,4,6.33,CONCLUIDO,0,1.371508379888268,4,NA,10.0,2,0,8,0,1,9,45.1,4
46,M,Escola Privada,Segunda Graduação,ENG_COA_EAD,411.399,0,10,3,4.55,CONCLUIDO,0,1.371508379888268,2,NA,14.0,4,0,9,1,2,12,42.92857142857143,3
46,M,Escola Privada,Segunda Graduação,ENG_COA_EAD,411.399,0,10,3,4.55,TRANCADA,0,1.371508379888268,2,NA,11.0,2,0,8,1,1,10,45.63636363636363,0
25,F,Escola Pública,Segunda Graduação,EDU.ESP_EAD,307.98614,0,8,4,6.27,CONCLUIDO,0,0.6537396121883656,10,NA,18.0,5,4,8,1,2,16,47.333333333333336,0
25,F,Escola Pública,Segunda Graduação,EDU.ESP_EAD,307.98614,4,8,4,6.27,CONCLUIDO,0,0.6537396121883656,10,NA,9.0,1,0,7,1,1,8,44.888888888888886,2
42,F,Escola Pública,Segunda Graduação,ADM_EAD,307.98614,2,8,1,6.29,CONCLUIDO,0,1.2253521126760565,8,NA,15.0,5,2,8,0,3,12,43.2,3
42,F,Escola Pública,Segunda Graduação,ADM_EAD,307.98614,4,8,1,6.29,CONCLUIDO,0,1.2253521126760565,8,NA,1.0,1,0,0,0,1,0,43.0,2
42,F,Escola Pública,Segunda Graduação,MAT_EAD,109.89856499999996,1,8,5,4.57,TRANSF. INT.,0,1.2253521126760565,8,NA,7.0,3,2,2,0,1,6,45.85714285714285,2
25,M,Não informado,Vestibular,ENG_SOF_EAD,171.072,0,10,0,8.33,CONCLUIDO,0,1.3,2,NA,14.0,4,0,9,1,2,12,42.92857142857143,3
25,M,Não informado,Vestibular,ENG_SOF_EAD,171.072,1,10,0,8.33,CONCLUIDO,0,1.3,2,NA,11.0,2,0,8,1,1,10,45.63636363636363,4
38,F,Não informado,Vestibular,ADM_EAD,359.9442,6,8,1,7.3,CONCLUIDO,0,0.6394366197183099,8,NA,14.0,2,2,8,2,3,11,45.57142857142857,0
38,F,Não informado,Vestibular,ADM_EAD,359.9442,12,8,1,7.3,CONCLUIDO,0,0.6394366197183099,8,NA,12.0,2,1,8,1,1,11,45.333333333333336,0
24,F,Escola Pública,Segunda Graduação,EDU.ESP_EAD,307.44071,0,8,0,8.69,CONCLUIDO,0,1.2952646239554315,10,NA,13.0,2,2,8,1,2,11,48.0,0
24,F,Escola Pública,Segunda Graduação,EDU.ESP_EAD,307.44071,0,8,0,8.69,CONCLUIDO,0,1.2952646239554315,10,NA,1.0,1,0,0,0,0,1,44.0,2
32,F,Escola Pública,Reingresso,PED_EAD,256.9975,15,8,2,7.82,ABANDONO,1,0.1294765840220385,13,Questões Financeiras,3.0,1,0,1,1,0,3,43.66666666666666,2
31,F,Não informado,Reingresso,REC_HUM_EAD,99.00227200000003,0,4,2,7.06,CONCLUIDO,0,0.5829787234042553,4,NA,14.0,2,1,10,1,1,13,46.35714285714285,1
40,F,Escola Pública,Segunda Graduação,EDU.ESP_EAD,307.549796,0,8,0,8.63,CONCLUIDO,0,1.2106741573033708,10,NA,18.0,5,4,8,1,2,16,47.333333333333336,0
42,F,Escola Pública,Reingresso,PED_EAD,256.9975,5,8,4,7.81,ABANDONO,1,0.3170028818443804,13,Questões Financeiras,3.0,1,0,1,1,0,3,43.66666666666666,2
38,M,Não informado,Vestibular,PROC_GERE,267.06,0,4,3,7.52,CONCLUIDO,0,0.1671554252199413,14,NA,13.0,2,2,8,1,4,9,41.0,1
44,F,Não informado,Reingresso,PED_EAD,302.35,4,8,17,5.21,ABANDONO,1,0.4277777777777777,13,Questões Financeiras,3.0,1,0,1,1,0,3,43.66666666666666,2
44,F,Não informado,Reingresso,PED_EAD,302.35,6,8,17,5.21,CONCLUIDO,0,0.4277777777777777,13,NA,4.0,2,0,1,1,0,4,43.75,2
39,F,Não informado,Segunda Graduação,GES_MAR_EAD,123.61283999999998,0,4,0,7.5,TRANCADA,0,0.3398328690807799,4,NA,9.0,1,1,6,1,1,8,44.55555555555556,1
25,F,Escola Pública,Segunda Graduação,GES_AMB_EAD,264.06072,2,4,2,0.1,ABANDONO,1,0.1461988304093567,4,Questões Financeiras,12.0,3,2,6,1,1,11,44.583333333333336,1
25,M,Escola Pública,Reingresso,LOG_EAD,310.82472,1,4,7,2.19,CONCLUIDO,0,0.2412587412587412,4,NA,11.0,0,1,8,2,2,9,43.90909090909091,1
25,M,Escola Pública,Reingresso,LOG_EAD,310.82472,6,4,7,2.19,CONCLUIDO,0,0.2412587412587412,4,NA,10.0,0,1,8,1,1,9,45.1,1
26,F,Não informado,Vestibular,CIC_EAD,307.98614,0,8,1,4.3,TRANCADA,0,0.3963414634146341,8,NA,19.0,4,2,12,1,4,15,42.94736842105263,3
36,F,Não informado,Vestibular,PED_EAD,241.88,8,8,13,5.24,CONCLUIDO,0,0.7320441988950276,13,NA,3.0,1,0,1,1,0,3,43.66666666666666,2
36,F,Não informado,Vestibular,PED_EAD,241.88,15,8,13,5.24,CONCLUIDO,0,0.7320441988950276,13,NA,4.0,2,0,1,1,0,4,43.75,2
44,F,Escola Privada,Vestibular,EDU.ESP_EAD,307.549796,0,8,2,7.16,CONCLUIDO,0,0.9917582417582418,10,NA,18.0,5,4,8,1,2,16,47.333333333333336,0
44,F,Escola Privada,Vestibular,EDU.ESP_EAD,307.549796,0,8,2,7.16,CONCLUIDO,0,0.9917582417582418,10,NA,9.0,1,0,7,1,1,8,44.888888888888886,2
30,F,Escola Pública,Vestibular,PRO_GER_EAD,263.90484,2,4,1,2.4,TRANCADA,0,0.3674698795180723,5,NA,14.0,2,1,10,1,1,13,46.35714285714285,1
39,F,Escola Pública,Vestibular,EDU.ESP_EAD,307.549796,0,8,0,8.15,CONCLUIDO,0,1.287292817679558,10,NA,18.0,5,4,8,1,2,16,47.333333333333336,0
27,F,Não informado,Vestibular,HIST_EAD,307.98614,0,8,0,7.41,CONCLUIDO,0,1.5916666666666666,10,NA,11.0,2,2,5,2,1,10,46.18181818181818,0
27,F,Não informado,Vestibular,HIST_EAD,307.98614,0,8,0,7.41,CONCLUIDO,0,1.5916666666666666,10,NA,1.0,1,0,0,0,0,1,54.0,2
27,F,Não informado,Vestibular,PED_EAD,151.175,1,8,0,7.54,CONCLUIDO,0,1.5916666666666666,13,NA,8.0,4,1,3,0,2,6,44.625,2
27,F,Não informado,Vestibular,PED_EAD,151.175,1,8,0,7.54,CONCLUIDO,0,1.5916666666666666,13,NA,4.0,2,0,2,0,0,4,43.25,2
40,F,Não informado,Vestibular,LET_EAD,109.89856499999996,1,8,12,3.71,CONCLUIDO,0,0.1857585139318885,10,NA,10.0,2,2,5,1,2,8,44.0,2
40,F,Não informado,Vestibular,LET_EAD,109.89856499999996,3,8,12,3.71,TRANCADA,0,0.1857585139318885,10,NA,2.0,1,0,1,0,0,2,41.5,2
27,F,Não informado,Vestibular,PED_EAD,256.9975,0,8,0,8.73,CONCLUIDO,0,0.7359550561797753,13,NA,3.0,1,0,1,1,0,3,43.66666666666666,2
27,F,Não informado,Vestibular,PED_EAD,256.9975,0,8,0,8.73,CONCLUIDO,0,0.7359550561797753,13,NA,4.0,2,0,1,1,0,4,43.75,2
36,F,Não informado,Segunda Graduação,CIC_EAD,307.80433,0,8,0,8.1,CONCLUIDO,0,0.9176136363636364,8,NA,13.0,3,2,6,2,1,12,45.0,0
36,F,Não informado,Segunda Graduação,CIC_EAD,307.80433,0,8,0,8.1,CONCLUIDO,0,0.9176136363636364,8,NA,11.0,1,1,8,1,0,11,45.54545454545455,0
33,F,Não informado,Vestibular,PED_EAD,168.825,0,8,0,8.63,CONCLUIDO,0,0.2832764505119454,13,NA,3.0,1,0,1,1,0,3,43.66666666666666,2
33,F,Não informado,Vestibular,PED_EAD,168.825,1,8,0,8.63,CONCLUIDO,0,0.2832764505119454,13,NA,4.0,2,0,1,1,0,4,43.75,2
24,M,Escola Pública,Vestibular,ADM_EAD,285.820725,0,8,5,5.7,CONCLUIDO,0,1.2303370786516854,8,NA,5.0,2,2,1,0,3,2,38.4,2
24,M,Escola Pública,Vestibular,ADM_EAD,285.820725,0,8,5,5.7,CONCLUIDO,0,1.2303370786516854,8,NA,2.0,1,1,0,0,0,2,41.0,2
45,F,Escola Pública,Vestibular,LED_FIS_EAD,360.929212,6,8,1,8.11,CONCLUIDO,0,0.8258426966292135,4,NA,15.0,5,1,7,2,3,12,46.8,3
45,F,Escola Pública,Vestibular,LED_FIS_EAD,360.929212,12,8,1,8.11,CONCLUIDO,0,0.8258426966292135,4,NA,10.0,2,0,7,1,1,9,47.4,0
29,F,Escola Pública,Vestibular,GEST_AMB,243.8073,5,4,10,5.77,CONCLUIDO,0,0.2607449856733524,14,NA,16.0,4,2,9,1,3,13,43.75,1
35,F,Escola Pública,Vestibular,LIC_PED_EAD,307.98614,1,8,3,0.0,ABANDONO,1,0.3425925925925926,4,Problemas Técnicos ou Administrativos,15.0,5,0,8,2,0,15,45.0,4
24,M,Escola Pública,Vestibular,LIC_PED_EAD,363.62,4,8,6,0.0,ABANDONO,1,0.0559210526315789,4,Questões Financeiras,17.0,5,2,8,2,1,16,45.64705882352941,0
